id,paper_id,question_id,question_part,element_type,content,element_id,created_at,updated_at
1220,p_40ef71b0235bc2938,2048,a,formula,"$x-3= 14$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1221,p_40ef71b0235bc2938,2049,b,formula,"$5y = 45$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1222,p_40ef71b0235bc2938,2050,c,formula,"$8+ w = 6$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1223,p_40ef71b0235bc2938,2051,a,formula,"$9174 \div 11$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1224,p_40ef71b0235bc2938,2052,b,formula,"$\frac{5}{6} + \frac{3}{7}$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1225,p_40ef71b0235bc2938,2054,b,formula,$4$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1226,p_40ef71b0235bc2938,2056,gen,diagram,"Diagram of grid with numbered rows and lettered columns.",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1227,p_40ef71b0235bc2938,2059,,table,"[{"Fraction":"$\frac{1}{2}$", "Percentage":"50%"},{"Fraction":"$\frac{3}{10}$", "Percentage":"[BLANK]"},{"Fraction":"[BLANK]", "Percentage":"43%"}]",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1228,p_40ef71b0235bc2938,2060,a,list,"$\frac{5}{6}$, $\frac{2}{3}$, $\frac{2}{5}$, $\frac{3}{6}$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1229,p_40ef71b0235bc2938,2061,b,formula,$72$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1230,p_40ef71b0235bc2938,2061,b,formula,$\frac{5}{8}$,2,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1231,p_40ef71b0235bc2938,2062,a,list,"$4$, $5$, $8$, $12$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1232,p_40ef71b0235bc2938,2063,b,list,"$2$, $3$, $4$, $5$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1233,p_40ef71b0235bc2938,2064,,formula,$0.1$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1234,p_40ef71b0235bc2938,2064,,formula,$0.6$,2,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1235,p_40ef71b0235bc2938,2065,,formula,"$x + y = 2$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1236,p_40ef71b0235bc2938,2066,,formula,$5%$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1237,p_40ef71b0235bc2938,2066,,formula,$31$,2,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1238,p_40ef71b0235bc2938,2066,,formula,$1%$,3,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1239,p_40ef71b0235bc2938,2066,,formula,$6.2$,4,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1240,p_40ef71b0235bc2938,2066,,formula,$13%$,5,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1241,p_40ef71b0235bc2938,2067,,table,"[{"0": "$10$", "1": "[BLANK]", "2": "$\frac{1}{2}$"}, {"0": "$\frac{1}{20}$", "1": "[BLANK]", "2": "$20$"}, {"0": "$2$", "1": "$5$", "2":"[BLANK]"}]",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1242,p_40ef71b0235bc2938,2068,,formula,$8$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1243,p_40ef71b0235bc2938,2068,,formula,$11$,2,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1244,p_40ef71b0235bc2938,2069,a,formula,$-1$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1245,p_40ef71b0235bc2938,2071,,diagram,"Diagram of a quadrilateral with sides extended to make exterior angles. Angle A is labeled 70 degrees, angle C is labeled 120 degrees, angle B is labeled x.",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1246,p_40ef71b0235bc2938,2072,,formula,$2$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1247,p_40ef71b0235bc2938,2072,,formula,$9$,2,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1248,p_40ef71b0235bc2938,2072,,formula,$17$,3,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1249,p_40ef71b0235bc2938,2073,,formula,$n$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1250,p_40ef71b0235bc2938,2073,,formula,$p$,2,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1251,p_40ef71b0235bc2938,2074,a,formula,"$n + p$",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1252,p_40ef71b0235bc2938,2075,b,formula,$np$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1253,p_40ef71b0235bc2938,2076,a,diagram,"Diagram of an angle with incorrect arcs drawn for bisection.",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1254,p_40ef71b0235bc2938,2077,b,diagram,"Diagram with a point P marked and square drawn around it.",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1255,p_40ef71b0235bc2938,2078,c,diagram,"Diagram of a rectangle",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1256,p_40ef71b0235bc2938,2079,,formula,"$x:y = 7:4$",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1257,p_40ef71b0235bc2938,2079,,formula,"$x + y = 88$",2,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1258,p_40ef71b0235bc2938,2079,,formula,"$x - y$",3,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1259,p_40ef71b0235bc2938,2080,,diagram,"Diagram of a time-distance graph.",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1260,p_40ef71b0235bc2938,2081,,formula,$10$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1261,p_40ef71b0235bc2938,2081,,formula,$70$,2,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1262,p_40ef71b0235bc2938,2082,,formula,$n$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1263,p_40ef71b0235bc2938,2083,,formula,$b$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1264,p_40ef71b0235bc2938,2083,,formula,$h$,2,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1265,p_40ef71b0235bc2938,2084,a,formula,$b$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1266,p_40ef71b0235bc2938,2084,a,formula,$h$,2,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1267,p_40ef71b0235bc2938,2085,b,formula,"$b:s = 2:3$",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1268,p_40ef71b0235bc2938,2085,b,formula,$b$,2,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1269,p_40ef71b0235bc2938,2086,,formula,$6$,1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1270,p_40ef71b0235bc2938,2087,a,formula,"$12 500$",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1271,p_40ef71b0235bc2938,2088,b,formula,"$3.4 \times 10^{-2}$",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1272,p_40ef71b0235bc2938,2089,,formula,"$(\sqrt{3})^{2} \times (\sqrt{2})^{2}$",1,"2025-04-01 19:20:19","2025-04-01 19:20:19"
1273,p_40ef71b0235bc2938,2090,,diagram,"Pie chart of election results, with sections labeled A, B, C, D and angles labeled 2x, x, 2x+10.",1,"2025-04-01 19:20:20","2025-04-01 19:20:20"
